127.0.0.1, 2017-03-20 09:06:09, GET, /admin/static/_2.14.6/codemirror/addon/edit/closetag.js, HTTP/1.1, 200, 0.000494
127.0.0.1, 2017-03-20 09:06:09, GET, /admin/static/_2.14.6/codemirror/mode/python/python.js, HTTP/1.1, 200, 0.000507
127.0.0.1, 2017-03-20 09:06:09, GET, /admin/static/_2.14.6/codemirror/mode/xml/xml.js, HTTP/1.1, 200, 0.001012
127.0.0.1, 2017-03-20 09:06:09, GET, /admin/static/_2.14.6/codemirror/mode/css/css.js, HTTP/1.1, 200, 0.001100
127.0.0.1, 2017-03-20 09:06:09, GET, /admin/static/_2.14.6/codemirror/addon/hint/show-hint.css, HTTP/1.1, 200, 0.000862
127.0.0.1, 2017-03-20 09:06:09, GET, /admin/static/_2.14.6/codemirror/addon/dialog/dialog.css, HTTP/1.1, 200, 0.000505
127.0.0.1, 2017-03-20 09:06:09, GET, /admin/static/_2.14.6/codemirror/addon/display/fullscreen.css, HTTP/1.1, 200, 0.000444
127.0.0.1, 2017-03-20 09:06:09, GET, /admin/static/_2.14.6/codemirror/addon/fold/foldgutter.css, HTTP/1.1, 200, 0.000516
127.0.0.1, 2017-03-20 09:06:09, GET, /admin/static/_2.14.6/css/typeahead.js-bootstrap.css, HTTP/1.1, 200, 0.000498
127.0.0.1, 2017-03-20 09:06:09, GET, /admin/static/_2.14.6/css/web2py-codemirror.css, HTTP/1.1, 200, 0.000876
127.0.0.1, 2017-03-20 09:06:09, GET, /admin/static/_2.14.6/codemirror/mode/javascript/javascript.js, HTTP/1.1, 200, 0.000454
127.0.0.1, 2017-03-20 09:06:09, GET, /admin/static/_2.14.6/codemirror/mode/htmlmixed/htmlmixed.js, HTTP/1.1, 200, 0.000460
127.0.0.1, 2017-03-20 09:06:09, GET, /admin/static/_2.14.6/codemirror/addon/hint/show-hint.js, HTTP/1.1, 200, 0.004488
127.0.0.1, 2017-03-20 09:06:09, GET, /admin/static/_2.14.6/codemirror/addon/hint/python-hint.js, HTTP/1.1, 200, 0.000451
127.0.0.1, 2017-03-20 09:06:09, GET, /admin/static/_2.14.6/codemirror/addon/edit/trailingspace.js, HTTP/1.1, 200, 0.000372
127.0.0.1, 2017-03-20 09:06:09, GET, /admin/static/_2.14.6/codemirror/addon/selection/active-line.js, HTTP/1.1, 200, 0.000428
127.0.0.1, 2017-03-20 09:06:09, GET, /admin/static/_2.14.6/codemirror/addon/display/fullscreen.js, HTTP/1.1, 200, 0.000420
127.0.0.1, 2017-03-20 09:06:09, GET, /admin/static/_2.14.6/codemirror/addon/dialog/dialog.js, HTTP/1.1, 200, 0.000431
127.0.0.1, 2017-03-20 09:06:09, GET, /admin/static/_2.14.6/codemirror/addon/fold/foldcode.js, HTTP/1.1, 200, 0.000446
127.0.0.1, 2017-03-20 09:06:09, GET, /admin/static/_2.14.6/codemirror/addon/fold/brace-fold.js, HTTP/1.1, 200, 0.000459
127.0.0.1, 2017-03-20 09:06:09, GET, /admin/static/_2.14.6/codemirror/addon/fold/foldgutter.js, HTTP/1.1, 200, 0.000466
127.0.0.1, 2017-03-20 09:06:09, GET, /admin/static/_2.14.6/codemirror/addon/fold/xml-fold.js, HTTP/1.1, 200, 0.000448
127.0.0.1, 2017-03-20 09:06:09, GET, /admin/static/_2.14.6/codemirror/addon/fold/comment-fold.js, HTTP/1.1, 200, 0.000435
127.0.0.1, 2017-03-20 09:06:09, GET, /admin/static/_2.14.6/codemirror/addon/fold/indent-fold.js, HTTP/1.1, 200, 0.000529
127.0.0.1, 2017-03-20 09:06:09, GET, /admin/static/_2.14.6/codemirror/addon/comment/comment.js, HTTP/1.1, 200, 0.000489
127.0.0.1, 2017-03-20 09:06:09, GET, /admin/static/_2.14.6/codemirror/emmet.min.js, HTTP/1.1, 200, 0.000436
127.0.0.1, 2017-03-20 09:06:09, GET, /admin/static/_2.14.6/js/ajax_editor.js, HTTP/1.1, 200, 0.000445
127.0.0.1, 2017-03-20 09:06:09, GET, /admin/static/_2.14.6/js/hogan-2.0.0.js, HTTP/1.1, 200, 0.000448
